,robustness,alpha_lon_accel_max,alpha_lon_brake_max,alpha_lon_brake_min,response_time,cluster_label
count,2151.0,2151.0,2151.0,2151.0,2151.0,2151.0
mean,4.844391439810183,6.827199021369627,9.562909793569155,3.7018472654346803,0.4572782024073342,0.0
std,1.861839759063138,2.4477427352848546,1.7850589318064771,0.7957653236146582,0.46524711735895813,0.0
min,1.0809697463593102,0.0015502575291262946,6.0141512657712175,2.011247933561697,0.05029885962748845,0.0
25%,3.753936962338749,6.26071839104342,8.751604498733762,3.334777167661649,0.1576785113622528,0.0
50%,4.671652191891837,7.702644723090839,9.33540301608971,3.5715117363262885,0.3274419376942021,0.0
75%,5.29263561911528,8.242702565635366,10.089655136272059,3.9713602546573994,0.600578541312967,0.0
max,12.143790230728975,9.998465122012762,14.999985854426725,5.997864808924115,4.950830686444731,0.0
count,849.0,849.0,849.0,849.0,849.0,849.0
mean,19.65931092045825,7.3628367750184465,9.926596393181159,3.6418499044535633,2.1171071362629355,1.0
std,2.206739890989673,2.2457878949395598,2.457161334552555,1.0860684683151414,1.1184031132620875,0.0
min,12.235667401606314,0.22024299686996707,6.0,2.015187030447964,0.6538545048361589,1.0
25%,20.55490922342293,6.018537443609097,8.02596398828634,2.7734160392989935,1.239422827156132,1.0
50%,20.686798095703125,7.83352144021154,9.67326554436234,3.505710120605774,1.7890011399807,1.0
75%,20.686920166015625,9.23713378320595,11.547765410433055,4.36530132118833,2.7257906378232875,1.0
max,20.687156677246094,9.997622028471048,14.944652947801616,5.991575948194472,4.974092255292222,1.0
