,robustness,alpha_lon_accel_max,alpha_lon_brake_max,alpha_lon_brake_min,response_time,cluster_label
count,10230.0,10230.0,10230.0,10230.0,10230.0,10230.0
mean,3.184787462391095,3.701230578899751,7.989610751094214,5.074267308811524,0.3705120411096533,0.0
std,1.6779609538094824,3.0025504549418276,1.9077373339274513,1.0312236874064682,0.4770654079183158,0.0
min,0.1554921174849162,9.534017054821484e-05,6.0,2.0014713488715348,0.050000667984498204,0.0
25%,2.000838034394863,0.6870144426772183,6.523906460115093,4.636224202288554,0.08051133200408844,0.0
50%,2.9678498966054434,3.283351474912341,7.608605403152466,5.469031063731452,0.18571330809609604,0.0
75%,4.152213366166507,7.034592819266463,8.913141724903468,5.89028157667075,0.466564351482123,0.0
max,11.574041643605694,9.999768673703928,14.99876138183664,5.9999984497755126,4.950532137309159,0.0
count,1576.0,1576.0,1576.0,1576.0,1576.0,1576.0
mean,19.13960993608143,6.146000209023009,9.693208018964025,4.28181921634888,2.507397165836248,1.0
std,2.818445060998557,2.678151711338615,2.661721157343659,1.223351253134157,1.216740086388035,0.0
min,10.326395543310143,0.03259007363643707,6.004223985553375,2.001719125797746,0.05014800691453015,1.0
25%,18.99411783261866,4.041694588053912,7.4636810744747,3.2926243505493704,1.5055786638064927,1.0
50%,20.68688201904297,6.359715063235073,9.236038356510033,4.480713569571975,2.2579369318836244,1.0
75%,20.68705177307129,8.440544185561176,11.621329203127196,5.381677592358427,3.3335992165255304,1.0
max,20.6873171453311,9.990728373551493,14.984687214119766,5.9999516786519145,4.999329443372939,1.0
