,robustness,alpha_lon_accel_max,alpha_lon_brake_max,alpha_lon_brake_min,response_time,cluster_label
count,231.0,231.0,231.0,231.0,231.0,231.0
mean,13.82151248783421,3.7812059232768314,9.623657822619025,3.9940651776210854,2.1950261226039967,0.0
std,3.9905343075755675,2.5930176410077013,2.615022581180658,1.2669122360428813,1.178219690234612,0.0
min,6.914533509838807,0.017454345085836254,6.001902285234691,2.0041675426338097,0.5467570396662926,0.0
25%,10.313643148154613,1.64981372481873,7.41085685620017,2.875345942204909,1.3313607841523276,0.0
50%,13.111036532866835,3.476440927465636,8.96883466656415,3.948972948682103,1.8309664411168984,0.0
75%,17.248352455727655,5.341294266899778,11.354749623765333,5.1310448572309735,2.7521155420911843,0.0
max,21.929159959349175,9.992697037187256,14.95504400037668,5.9945828430223385,4.994563014830948,0.0
count,5163.0,5163.0,5163.0,5163.0,5163.0,5163.0
mean,3.542961950769702,1.6433136713333516,7.28597542758875,4.072036034973729,0.41729203716533764,1.0
std,1.4314901656043608,1.5403334156930932,1.6910742917079737,1.2230104576430683,0.49159111849192183,0.0
min,0.15111329496835274,3.633331980840452e-05,6.0,2.000154698427594,0.0500176017153531,1.0
25%,2.6460930659743767,0.5826990679342587,6.202134189619439,2.9412340126024024,0.11996198089624976,1.0
50%,3.846662337582344,1.137196955058167,6.603927722380606,3.9828895526948553,0.2311264094978734,1.0
75%,4.561257245117513,2.319927257772676,7.682315646615388,5.225895118078821,0.5190753456892151,1.0
max,8.796733882750033,9.97476806071294,14.99622674738822,5.999752180665532,4.93902249934566,1.0
