,robustness,alpha_lon_accel_max,alpha_lon_brake_max,alpha_lon_brake_min,response_time,alpha_lat_accel_max,alpha_lat_brake_min,lateral_fluctuation_margin,cluster_label
count,2107.0,2107.0,2107.0,2107.0,2107.0,2107.0,2107.0,2107.0,2107.0
mean,5.924034078187829,3.8925761359914977,13.348942982458922,3.279239418531395,0.23468818814013484,1.3555975139763399,0.5430558512224698,0.3040518076757638,0.0
std,1.7562173265496708,1.5541296575375159,0.9559073909197594,0.7552951202401162,0.1988094578671963,0.3913986309355058,0.3952727914182583,0.09293151361633054,0.0
min,1.398012785585547,0.0029273179132070434,8.868743930608654,2.0010847151871545,0.05006886944529024,0.0003608637654523156,0.0009152929101574476,0.0012465468756571456,0.0
25%,4.801254226179735,3.1622889466069832,13.014987910471113,2.9119505433182713,0.10063321846730883,1.2830465157341553,0.30954911282673403,0.2604908535277959,0.0
50%,5.566720483124609,3.7391962357128197,13.307334410399534,3.1157545489676517,0.18361732969029865,1.4154494124578774,0.4139742108112165,0.326216739884708,0.0
75%,6.4888541440437635,4.602581427883234,13.981719003923095,3.357114810877449,0.3106789940106539,1.5536459161712675,0.6728037139695366,0.3515362743173781,0.0
max,12.525730246779187,9.994250929872132,14.999767298455849,5.993615520619907,2.710655220429477,1.998402287832157,2.9798649344793504,0.4996906649929026,0.0
count,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0,1423.0
mean,36.76386572647548,5.622524251403613,10.344888029844205,4.2429063669108125,1.233420230187829,0.8711403138159866,0.7046239360759178,0.19913339511040212,1.0
std,2.6315806223244818,1.8908415825751372,3.1922345930935423,1.2748294940599323,0.9264823197458593,0.6014515598816108,0.580789594410937,0.14617535793815647,0.0
min,26.8914358516388,0.5597294352624577,6.0,2.005755646771259,0.2497354093893991,0.0007216539283561585,0.0001868876306574317,0.00033104915841697684,1.0
25%,37.830615974112625,4.383520100049751,7.011813808048423,3.0886984639059305,0.606617765981508,0.3320620053573876,0.30022710842817235,0.06498306649696209,1.0
50%,37.87169362054444,5.626369087985567,10.626053316186802,4.312936190511566,0.8947019173783887,0.7765533637382231,0.5774866382477474,0.17848978224316367,1.0
75%,37.87615777358902,6.6954284703947025,13.365154205269263,5.47477871934111,1.4661845293649578,1.4067691540245386,0.9664581088429616,0.32486031678413674,1.0
max,37.88036725316226,9.997730501828613,14.999595262631106,5.996311309930433,4.954075937723107,1.998402287832157,2.9885508446884512,0.4992560428698276,1.0
count,2034.0,2034.0,2034.0,2034.0,2034.0,2034.0,2034.0,2034.0,2034.0
mean,5.5875575482710085,5.6156535160767715,6.583714266452362,5.479543672809615,0.1740895141442255,0.33321546160551524,0.5645121232062775,0.06934527883185064,2.0
std,2.3746546062804463,1.1781161169430456,0.6069843768025414,0.559137491710239,0.13015074476500701,0.2684787089306971,0.23020427083652645,0.07640093936830154,0.0
min,0.28205812223029936,0.007552416100655295,6.000159564337385,2.011098415321668,0.05002726068445454,0.0009608536679552859,0.0012199243100771136,0.0001727657861030042,2.0
25%,3.9755681695792386,5.593283301769314,6.256957496437693,5.522449537719474,0.08167723933580309,0.2462109337442668,0.4902743273701582,0.04392772866571106,2.0
50%,5.1067653711075245,5.820695347620534,6.421094078591439,5.613618192249299,0.1375980192881727,0.27794849009486183,0.5508410738467179,0.05251912790728771,2.0
75%,7.161146713932221,5.987093020491922,6.677463597703802,5.684986240991158,0.22708280051344887,0.324608897670821,0.6029703875494787,0.06362548849223869,2.0
max,13.315707372850307,9.958328207150347,11.059841252358668,5.998324805942008,1.3613577618369421,1.9990006833279383,2.9735896153968064,0.4998771416007742,2.0
count,437.0,437.0,437.0,437.0,437.0,437.0,437.0,437.0,437.0
mean,18.578750253584797,3.399134157176502,11.9796886104236,3.5784921566828176,0.7230558593356139,1.277238140025237,0.3983826989568113,0.28639756715110604,3.0
std,4.87883185336231,1.9532294963277521,2.705443091816492,1.0709180447775186,0.6238472034119161,0.5300668698665884,0.5221280218530588,0.1299370510028619,0.0
min,12.004504165133385,0.016245801574323454,6.0041969219121745,2.0010847151871545,0.10101284717706847,0.0027709503570071967,0.00011267812413509663,0.0006220940147864785,3.0
25%,14.64857067408474,1.9885283171738013,10.996713452413406,2.8798266622448128,0.3855305151990239,0.994506419047012,0.02926796920064187,0.20400355602245066,3.0
50%,16.7452440400199,3.2930033809490977,12.943160554798244,3.2270864831294177,0.5268010095220169,1.3952104984018272,0.1926284023090979,0.3129376664034086,3.0
75%,24.56126673994588,4.5744425835129805,13.861331262073634,4.021501095034444,0.7853673979617801,1.6542824881866731,0.5978544617105839,0.3778088508907311,3.0
max,28.04024100271853,9.958286361370266,14.995511422080519,5.9961708464869865,4.623128459295732,1.998402287832157,2.9943261534782994,0.4988697393538111,3.0
