,robustness,alpha_lon_accel_max,alpha_lon_brake_max,alpha_lon_brake_min,response_time,alpha_lat_accel_max,alpha_lat_brake_min,lateral_fluctuation_margin,alpha_lon_brake_min_correct
count,33471.0,33471.0,33471.0,33471.0,33471.0,33471.0,33471.0,33471.0,33471.0
mean,4.023198067898304,4.107917932020875,8.034110574195845,4.641434917931341,0.5369287018613152,0.43898213050270385,0.968206811061426,0.07951027125465149,1.7676527753052753
std,1.825576215188872,2.8269812428380243,2.268852169586231,1.152950330552045,0.645321787210026,0.5130440902227056,0.49426945605930567,0.14173111546441533,0.5088805929718861
min,0.15018796632437936,3.633331980840452e-05,6.0,2.000154698427594,0.050000667984498204,5.915754980892474e-06,0.0009152929101574476,0.0,0.0004227499060579509
25%,2.9007034765472097,1.5230358338451873,6.348295932509657,3.554515691201373,0.11841148609305116,0.2,0.8,0.0,2.0
50%,4.041476895533985,3.693314663466992,7.183661772350991,4.9785339382837215,0.2895007729553268,0.2,0.8,0.0,2.0
75%,4.948868254594414,6.384553489515984,8.93965876215065,5.686238103605662,0.6826624428495626,0.28753092022002497,0.8,0.07117160770269038,2.0
max,11.295638609649133,9.999768673703928,14.999985854426725,5.9999984497755126,4.999975110743115,1.999863997180663,2.99989339954995,0.4999855602259724,2.0
count,3880.0,3880.0,3880.0,3880.0,3880.0,3880.0,3880.0,3880.0,3880.0
mean,18.568686599807076,5.919258132909703,9.503217006579284,4.130878092473986,1.9411529440899467,0.46807163394002843,0.8677944580364096,0.07748284888006869,1.8657378453452758
std,2.9086435137535487,2.7045849245080373,2.739128958506624,1.2101032969814358,1.2969263321123181,0.5474602232543738,0.4129720535211493,0.1436968799865404,0.3795820114280342
min,11.307260590379947,0.007552416100655295,6.0,2.001719125797746,0.05014800691453015,0.0007488441914117461,0.00011267812413509663,0.0,0.0029383570884541355
25%,17.073925129224648,3.7263665216655406,7.106107352000096,3.1502196087414385,0.9709861190732215,0.2,0.8,0.0,2.0
50%,20.04004548906694,6.218114087961809,8.964876719927819,4.1220536236460905,1.652249525836028,0.2,0.8,0.0,2.0
75%,20.686935424804688,8.24247166940297,11.639417994124624,5.24289887850524,2.7267881354028276,0.2000617464614911,0.8,0.06785167192131503,2.0
max,24.99732380998105,9.997622028471048,14.995511422080519,5.999913792555412,4.999329443372939,1.999793703476624,2.9943261534782994,0.4994857155144738,2.0
